Date,amount
2021-01-05T10:36:37.573Z,13180
2021-01-05T10:36:37.573Z,13020
2021-01-05T10:36:37.573Z,13009
2020-09-16T17:12:32.324Z,13000
2020-09-16T17:12:22.287Z,13000
2020-09-16T17:12:22.287Z,13000
2021-01-05T10:36:37.573Z,13000
2021-01-05T10:36:37.573Z,13000
2020-09-16T17:12:32.324Z,12995
2020-09-16T17:12:32.324Z,12906
2020-09-16T17:12:32.324Z,12725
2020-09-16T17:12:32.324Z,12722
2021-01-05T10:36:37.573Z,12710
2020-09-16T17:12:22.287Z,12671
2020-09-16T17:12:22.287Z,12671
2020-09-16T17:12:22.287Z,12656
2020-09-16T17:12:22.287Z,12636
2021-01-05T10:36:37.573Z,12599
2021-01-05T10:36:37.573Z,12574
2020-09-16T17:12:32.324Z,12500
2020-09-16T17:12:32.324Z,12500
2020-09-16T17:12:22.287Z,12376
2020-09-16T17:12:22.287Z,12348
2020-09-16T17:12:22.287Z,12291
2020-11-10T12:39:32.643Z,12209
2021-01-05T10:36:37.573Z,12159
2021-01-05T10:36:37.573Z,12072
2020-09-16T17:12:32.324Z,12053
2020-09-16T17:12:32.324Z,12045
2021-01-05T10:36:37.573Z,12035
2020-09-16T17:12:32.324Z,12035
2020-09-16T17:12:32.324Z,12000
2020-09-16T17:12:32.324Z,12000
2020-10-20T05:09:35.470Z,11999
2020-10-20T05:09:35.470Z,11908
2020-09-16T17:12:32.324Z,11906
2020-09-16T17:12:32.324Z,11785
2020-09-16T17:12:32.324Z,11785
2020-09-16T17:12:32.324Z,11760
2020-09-16T17:12:32.324Z,11674
2020-09-16T17:12:32.324Z,11628
2020-09-16T17:12:32.324Z,11628
2020-09-16T17:12:32.324Z,11580
2021-01-05T10:36:37.573Z,11580
2020-11-10T12:39:32.643Z,11541
2020-11-10T12:39:32.643Z,11518
2021-01-05T10:36:37.573Z,11471
2021-01-05T10:36:37.573Z,11429
2020-09-16T17:12:22.287Z,11414
2020-09-16T17:12:32.324Z,11406
2021-01-05T10:36:37.573Z,11382
2020-09-16T17:12:32.324Z,11354
2021-01-05T10:36:37.573Z,11354
2020-09-16T17:12:32.324Z,11354
2020-09-16T17:12:32.324Z,11215
2021-01-05T10:36:37.573Z,11215
2021-01-05T10:36:37.573Z,11172
2021-01-05T10:36:37.573Z,11172
2020-10-20T05:09:35.470Z,11172
2020-10-20T05:09:35.470Z,11025
